Dt. Negociação,Conta,Ativo,Preço,Quantidade Compra,Quantidade Venda,Financeiro Compra,Financeiro Venda,,Ativo,Compra ,Quantidade,Venda,Quantidade,Saldo Investimento,Saldo Quantidade,Valor Atual,Saldo Atual
14/01/2019,166150,FIIP11B,"R$ 191,60","7,00",0,"R$ 1.341,20","R$ 0,00",,,,,,,,,,
28/01/2019,166150,VALE3,"R$ 43,00","100,00",0,"R$ 4.300,00","R$ 0,00",,,,,,,,,,
08/03/2019,166150,BBAS3,"R$ 50,28","0,00",300,"R$ 0,00","R$ 15.084,00",,,,,,,,,,
25/03/2019,166150,CMIG4,"R$ 13,75","0,00",100,"R$ 0,00","R$ 1.375,00",,,,,,,,,,
25/03/2019,166150,CMIG4,"R$ 13,75","0,00",100,"R$ 0,00","R$ 1.375,00",,,,,,,,,,
25/03/2019,166150,CMIG4F,"R$ 13,73","0,00",31,"R$ 0,00","R$ 425,63",,,,,,,,,,
12/09/2019,166150,BBAS3,"R$ 48,05","100,00",0,"R$ 4.805,00","R$ 0,00",,,,,,,,,,
16/09/2019,166150,OIBR3,"R$ 1,07","200,00",0,"R$ 214,00","R$ 0,00",,,,,,,,,,
24/10/2019,166150,XPIN11,"R$ 115,18","2,00",0,"R$ 230,36","R$ 0,00",,,,,,,,,,
19/11/2019,166150,XPIN11,"R$ 132,00","1,00",0,"R$ 132,00","R$ 0,00",,,,,,,,,,
09/12/2019,166150,XPIN11,"R$ 146,82","1,00",0,"R$ 146,82","R$ 0,00",,,,,,,,,,
13/12/2019,166150,XPIN11,"R$ 146,99","1,00",0,"R$ 146,99","R$ 0,00",,,,,,,,,,
18/12/2019,166150,XPIN11,"R$ 159,39","6,00",0,"R$ 956,34","R$ 0,00",,,,,,,,,,
18/12/2019,166150,XPIN11,"R$ 159,40","63,00",0,"R$ 10.042,20","R$ 0,00",,,,,,,,,,
18/12/2019,166150,XPIN11,"R$ 159,99","90,00",0,"R$ 14.399,10","R$ 0,00",,,,,,,,,,
18/12/2019,166150,XPIN11,"R$ 160,00","2,00",0,"R$ 320,00","R$ 0,00",,,,,,,,,,
08/01/2020,166150,XPIN11,"R$ 180,50","1,00",0,"R$ 180,50","R$ 0,00",,,,,,,,,,
29/01/2020,166150,XPIN11,"R$ 134,00","2,00",0,"R$ 268,00","R$ 0,00",,,,,,,,,,
29/01/2020,166150,XPIN11,"R$ 134,70","11,00",0,"R$ 1.481,70","R$ 0,00",,,,,,,,,,
03/02/2020,166150,XPIN12,"R$ 19,50","0,00",240,"R$ 0,00","R$ 4.680,00",,,,,,,,,,
28/02/2020,166150,ITSA4,"R$ 11,80","100,00",0,"R$ 1.180,00","R$ 0,00",,,,,,,,,,
28/02/2020,166150,KNRI11,"R$ 170,54","2,00",0,"R$ 341,08","R$ 0,00",,,,,,,,,,
09/03/2020,166150,XPIN11,"R$ 128,09","3,00",0,"R$ 384,27","R$ 0,00",,,,,,,,,,
26/03/2020,166150,EZTC3,"R$ 37,74","0,00",200,"R$ 0,00","R$ 7.548,00",,,,,,,,,,
26/03/2020,166150,WEGE3,"R$ 37,50","0,00",400,"R$ 0,00","R$ 15.000,00",,,,,,,,,,
08/04/2020,166150,XPML11,"R$ 90,65","10,00",0,"R$ 906,50","R$ 0,00",,,,,,,,,,
02/07/2020,166150,EZTC3,"R$ 42,01","100,00",0,"R$ 4.201,00","R$ 0,00",,,,,,,,,,
02/07/2020,166150,FIIP11B,"R$ 184,99","13,00",0,"R$ 2.404,87","R$ 0,00",,,,,,,,,,
02/07/2020,166150,XPML11,"R$ 102,79","3,00",0,"R$ 308,37","R$ 0,00",,,,,,,,,,
02/07/2020,166150,XPML11,"R$ 102,79","1,00",0,"R$ 102,79","R$ 0,00",,,,,,,,,,
02/07/2020,166150,XPML11,"R$ 102,87","12,00",0,"R$ 1.234,44","R$ 0,00",,,,,,,,,,
02/07/2020,166150,XPML11,"R$ 102,88","14,00",0,"R$ 1.440,32","R$ 0,00",,,,,,,,,,
14/07/2020,166150,XPML11,"R$ 102,76","50,00",0,"R$ 5.138,00","R$ 0,00",,,,,,,,,,
28/07/2020,166150,ALZR11,"R$ 122,01","10,00",0,"R$ 1.220,10","R$ 0,00",,,,,,,,,,
28/07/2020,166150,ALZR11,"R$ 122,05","10,00",0,"R$ 1.220,50","R$ 0,00",,,,,,,,,,
28/07/2020,166150,ALZR11,"R$ 122,05","8,00",0,"R$ 976,40","R$ 0,00",,,,,,,,,,
28/07/2020,166150,ALZR11,"R$ 122,05","45,00",0,"R$ 5.492,25","R$ 0,00",,,"R$ 1.220,10",,,,,,,
24/08/2020,166150,ALZR11,"R$ 129,78","1,00",0,"R$ 129,78","R$ 0,00",,,"R$ 1.220,50",,,,,,,
24/08/2020,166150,ALZR11,"R$ 129,78","2,00",0,"R$ 259,56","R$ 0,00",,,"R$ 976,40",,,,,,,
21/09/2020,166150,ALZR11,"R$ 132,99","3,00",0,"R$ 398,97","R$ 0,00",,,"R$ 5.492,25",,,,,,,
05/10/2020,166150,XPML11,"R$ 106,25","5,00",0,"R$ 531,25","R$ 0,00",,,,,,,,,,
29/10/2020,166150,XPML11,"R$ 105,68","3,00",0,"R$ 317,04","R$ 0,00",,,,,,,,,,
07/01/2021,166150,TAEE11,"R$ 32,71","200,00",0,"R$ 6.542,00","R$ 0,00",,,,,,,,,,
05/02/2021,166150,MXRF11,"R$ 10,70","336,00",0,"R$ 3.595,20","R$ 0,00",,,,,,,,,,
17/02/2021,166150,MXRF11,"R$ 10,74","30,00",0,"R$ 322,20","R$ 0,00",,,,,,,,,,
01/03/2021,166150,MXRF11,"R$ 10,63","1,00",0,"R$ 10,63","R$ 0,00",,,,,,,,,,
01/03/2021,166150,MXRF11,"R$ 10,63","65,00",0,"R$ 690,95","R$ 0,00",,,,,,,,,,
04/03/2021,166150,MXRF11,"R$ 10,55","7,00",0,"R$ 73,85","R$ 0,00",,,,,,,,,,
